protGroups,mean,q
sp|Q15042|RB3GP_HUMAN,3.55049660755627,0.00686398448222488
sp|Q99626|CDX2_HUMAN,3.15026063193396,0.0216977061531855
sp|Q96SK2|TM209_HUMAN,3.06084062142072,0.00637362920149506
sp|P51572|BAP31_HUMAN,2.8104611471541,0.00474280443393604
sp|P02792|FRIL_HUMAN,2.66702811991986,0.00957342648452497
sp|Q9UHQ4|BAP29_HUMAN,2.62420418451862,0.00409407349590708
sp|Q8NDN9|RCBT1_HUMAN,2.58423301244948,0.0039840610928753
sp|Q9HBM0|VEZA_HUMAN,2.4667947124547,0.000524443390587578
sp|Q15758|AAAT_HUMAN,2.401444256661,0.00805390318182669
sp|P51801|CLCKB_HUMAN,2.25596647807765,0.0039840610928753
sp|P41212|ETV6_HUMAN,2.20294195654242,0.00463796048425961
sp|Q63HN8|RN213_HUMAN;sp|P53992|SC24C_HUMAN,2.13313999330443,0.00313249020734009
sp|P63165|SUMO1_HUMAN;sp|G2XKQ0|SUMO5_HUMAN,2.1110239804597,0.00372589501263763
sp|O14524|NEMP1_HUMAN,2.02237674954742,0.00372589501263763
sp|P49792|RBP2_HUMAN,1.99744519246915,0.00372589501263763
sp|P01857|IGHG1_HUMAN;sp|P01860|IGHG3_HUMAN;sp|P01859|IGHG2_HUMAN;sp|P01861|IGHG4_HUMAN,1.94271435878888,0.0039840610928753
sp|Q01650|LAT1_HUMAN,1.91549115548549,0.0175764145577867
sp|Q14974|IMB1_HUMAN,1.8729314946583,0.00372589501263763
sp|Q8NFH5|NUP35_HUMAN,1.85285004326958,0.00933244660588197
sp|Q96MG7|NSE3_HUMAN,1.83973686501309,0.00547574069751595
sp|Q9NXX6|NSE4A_HUMAN;sp|Q8N140|EID3_HUMAN,1.83530636478305,0.00553884652476021
sp|A6NKT7|RGPD3_HUMAN,1.81535504922432,0.007132741344567
sp|P46060|RAGP1_HUMAN,1.79178005152108,0.0041873776740955
sp|Q9UFW8|CGBP1_HUMAN,1.79105684974094,0.0172253639031981
sp|Q8WV22|NSE1_HUMAN,1.76123010719495,0.00897583114239146
sp|Q93052|LPP_HUMAN,1.74812099268398,0.0087021073913803
sp|O60684|IMA7_HUMAN,1.70797260506716,0.0169511804903241
sp|P57740|NU107_HUMAN,1.61608768447936,0.00612549251398629
sp|Q8IY18|SMC5_HUMAN,1.57204656044551,0.0104568181996082
sp|P02794|FRIH_HUMAN,1.56542285973491,0.00901255318615994
sp|O95299|NDUAA_HUMAN,1.53358287725505,0.00633471282688582
sp|Q09028|RBBP4_HUMAN,1.53169682973622,0.0179563362218008
sp|P30837|AL1B1_HUMAN,1.52481072054269,0.00989757149324582
sp|P52948|NUP98_HUMAN,1.51763525683412,0.00740390956320752
sp|Q9UHD2|TBK1_HUMAN,1.49356313568157,0.0220035861401389
sp|Q96SB8|SMC6_HUMAN,1.47943367487893,0.00692440722194737
sp|P55209|NP1L1_HUMAN;sp|Q99733|NP1L4_HUMAN,1.46801478234313,0.00474280443393604
sp|Q9UKK6|NXT1_HUMAN,1.46616503491637,0.0155094350745454
sp|Q8TAA5|GRPE2_HUMAN,1.46039532733592,0.00474280443393604
sp|P62826|RAN_HUMAN,1.44485359365011,0.00496408453850451
sp|P05161|ISG15_HUMAN,1.4348974367114,0.00372589501263763
sp|Q9HC77|CENPJ_HUMAN,1.42673161241101,0.00372589501263763
sp|Q6UB99|ANR11_HUMAN;sp|Q6UB98|ANR12_HUMAN,1.39462646377589,0.00474280443393604
sp|A7MCY6|TBKB1_HUMAN,1.38936302886032,0.0402910470459362
sp|Q96MF7|NSE2_HUMAN,1.38743138272161,0.00694270303505117
sp|P05091|ALDH2_HUMAN,1.38288667209945,0.0396488107638679
sp|Q12904|AIMP1_HUMAN,1.37261061159487,0.0360010690810821
sp|Q99567|NUP88_HUMAN,1.36061672305426,0.00740390956320752
sp|Q8N8E3|CE112_HUMAN;REV__sp|Q13427|PPIG_HUMAN,1.34830956535082,0.0114597511493229
sp|P45880|VDAC2_HUMAN,1.33622414820399,0.00496408453850451
sp|Q9UBU9|NXF1_HUMAN,1.30716022845117,0.012732780307189
sp|Q8NFH3|NUP43_HUMAN,1.3067326612748,0.0039840610928753
sp|O75190|DNJB6_HUMAN;sp|Q8NHS0|DNJB8_HUMAN;sp|P25686|DNJB2_HUMAN,1.28364648150735,0.0143847737842682
sp|Q9Y5V3|MAGD1_HUMAN;sp|Q9UNF1|MAGD2_HUMAN,1.25572218822841,0.00586235521811978
sp|Q8WWM7|ATX2L_HUMAN,1.25361429720658,0.0307265173358065
sp|P38117|ETFB_HUMAN,1.24903963841546,0.00546906043080783
sp|Q14257|RCN2_HUMAN,1.2225100962523,0.00464662800277951
sp|Q08380|LG3BP_HUMAN,1.21208598013376,0.0364851213550767
sp|A6NKD9|CC85C_HUMAN,1.20841616683779,0.0176713599924125
sp|P09914|IFIT1_HUMAN;sp|Q5T764|IFT1B_HUMAN;sp|Q13325|IFIT5_HUMAN,1.19453145081978,0.0125563812852191
sp|Q5VTJ3|KLD7A_HUMAN,1.1857779397112,0.00714240730544028
sp|Q8N1F7|NUP93_HUMAN,1.17251709098421,0.00613999410610052
sp|P35658|NU214_HUMAN,1.16995923957244,0.00989757149324582
sp|O75817|POP7_HUMAN,1.15904722896138,0.030202272982615
sp|O43739|CYH3_HUMAN;sp|Q99418|CYH2_HUMAN;sp|Q15438|CYH1_HUMAN,1.1557852762944,0.0258159744918701
sp|Q8WUM0|NU133_HUMAN,1.15111308052819,0.00957342648452497
sp|O75410|TACC1_HUMAN;sp|O95359|TACC2_HUMAN,1.13501549836659,0.00496408453850451
sp|Q9UPN4|CP131_HUMAN,1.12857238539149,0.0364851213550767
sp|O43852|CALU_HUMAN,1.10293775124575,0.011804155753373
sp|Q8NG27|PJA1_HUMAN,1.09761328021671,0.0236835745671353
sp|Q8N7W2|BEND7_HUMAN,1.09647183657122,0.00506787761429385
sp|P51648|AL3A2_HUMAN,1.08390932664325,0.00506622077553098
sp|Q4KMQ2|ANO6_HUMAN,1.0602623182692,0.00372589501263763
sp|P27708|PYR1_HUMAN,1.05550367358882,0.00566249682899106
sp|P31327|CPSM_HUMAN,1.05340623229459,0.0041873776740955
sp|P37198|NUP62_HUMAN,1.0377256105578,0.00880604079363117
sp|P21796|VDAC1_HUMAN,1.03466929655587,0.00897583114239146
sp|Q86YT6|MIB1_HUMAN,1.02958548261553,0.00686398448222488
sp|Q92621|NU205_HUMAN,1.0069270376422,0.00897583114239146
sp|P60468|SC61B_HUMAN,1.00689922350119,0.00850813871704716
sp|Q6YHK3|CD109_HUMAN,-1.00360508297907,0.00496408453850451
sp|Q9Y6K5|OAS3_HUMAN,-1.0078883544854,0.00409407349590708
sp|Q5VTL8|PR38B_HUMAN,-1.01426840615069,0.00173752782827174
sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN,-1.0144993560538,0.00372589501263763
sp|Q9UKV3|ACINU_HUMAN,-1.03048634123067,0.0193288251608872
sp|P0DN76|U2AF5_HUMAN;sp|Q01081|U2AF1_HUMAN;sp|Q8WU68|U2AF4_HUMAN,-1.0343231147302,0.011921434149351
sp|Q86V81|THOC4_HUMAN,-1.04448026458774,0.0338746687351522
sp|Q9NZT1|CALL5_HUMAN,-1.06139977529712,0.0338255707218577
sp|Q9Y2V7|COG6_HUMAN,-1.06362577884983,0.0149742766193661
sp|Q7L014|DDX46_HUMAN,-1.07264642744643,0.00686398448222488
sp|P25311|ZA2G_HUMAN,-1.07361342322507,0.0155094350745454
sp|Q9BU76|MMTA2_HUMAN,-1.07476270633008,0.00897583114239146
sp|Q9Y3B4|SF3B6_HUMAN,-1.08538448866206,0.00989757149324582
sp|P83111|LACTB_HUMAN,-1.08567746064485,0.0039840610928753
sp|P61289|PSME3_HUMAN,-1.09256345699262,0.00957342648452497
sp|P31944|CASPE_HUMAN,-1.09445511849516,0.0181259164379346
sp|P62269|RS18_HUMAN,-1.09866407080806,0.0143847737842682
sp|Q9H2D6|TARA_HUMAN,-1.1075248666966,0.00372589501263763
sp|O75400|PR40A_HUMAN;sp|Q6NWY9|PR40B_HUMAN,-1.12439677967526,0.00493242649480592
sp|Q99714|HCD2_HUMAN,-1.1261474789722,0.0129509840573694
sp|Q9UJV9|DDX41_HUMAN,-1.13441247392766,0.00503245538797561
sp|Q6NZI2|CAVN1_HUMAN,-1.14594427936145,0.00372589501263763
sp|P15884|ITF2_HUMAN,-1.14760186476903,0.0143847737842682
sp|P09497|CLCB_HUMAN,-1.15174009525037,0.00954213174237807
sp|Q99959|PKP2_HUMAN,-1.15299378876692,0.0319773610376411
sp|Q13867|BLMH_HUMAN,-1.15837856671522,0.0216977061531855
sp|P07902|GALT_HUMAN,-1.16646059551395,0.0180522209981355
